Episodes,Reward,CumReward,Timesteps
771,-3,1715,6
772,-1,1714,5
773,-2,1712,5
774,1,1713,4
775,-10,1703,4
776,0,1703,4
777,0,1703,4
778,0,1703,4
779,-9,1694,4
780,1,1695,4
781,-1,1694,6
782,-2,1692,6
783,1,1693,4
784,2,1695,3
785,0,1695,5
786,0,1695,4
787,-1,1694,5
788,-1,1693,5
789,0,1693,4
790,0,1693,4
791,-2,1691,5
792,0,1691,5
793,0,1691,4
794,0,1691,4
795,0,1691,4
796,99,1790,5
797,-5,1785,7
798,-2,1783,5
799,2,1785,3
800,97,1882,6
801,-1,1881,5
802,0,1881,4
803,-2,1879,6
804,0,1879,5
805,-1,1878,5
806,-4,1874,6
807,0,1874,4
808,0,1874,5
809,-2,1872,5
810,-1,1871,5
811,2,1873,3
812,2,1875,3
813,2,1877,3
814,-6,1871,7
815,2,1873,3
816,0,1873,4
817,1,1874,4
818,-1,1873,6
819,1,1874,4
820,-1,1873,5
821,0,1873,5
822,2,1875,3
823,2,1877,3
824,-3,1874,6
825,2,1876,3
826,-8,1868,3
827,2,1870,3
828,0,1870,4
829,-9,1861,5
830,-7,1854,8
831,1,1855,4
832,0,1855,4
833,1,1856,4
834,-2,1854,5
835,2,1856,3
836,-4,1852,7
837,0,1852,4
838,-2,1850,5
839,-10,1840,4
840,1,1841,4
841,-3,1838,6
842,0,1838,4
843,-2,1836,6
844,1,1837,4
845,-2,1835,5
846,-4,1831,7
847,-4,1827,6
848,2,1829,3
849,0,1829,4
850,0,1829,4
851,-1,1828,5
852,1,1829,4
853,0,1829,4
854,2,1831,3
855,1,1832,4
856,-9,1823,4
857,1,1824,4
858,0,1824,4
859,0,1824,4
860,-3,1821,6
861,2,1823,3
862,1,1824,4
863,2,1826,3
864,0,1826,5
865,-4,1822,7
866,0,1822,4
867,-1,1821,5
868,-1,1820,5
869,-2,1818,5
870,-1,1817,5
871,2,1819,3
872,-2,1817,6
873,-9,1808,4
874,-13,1795,7
875,-8,1787,3
876,-2,1785,5
877,-1,1784,5
878,-3,1781,6
879,2,1783,3
880,1,1784,4
881,-2,1782,6
882,-1,1781,5
883,2,1783,3
884,2,1785,3
885,0,1785,4
886,-10,1775,5
887,-4,1771,6
888,2,1773,3
889,-3,1770,6
890,-1,1769,5
891,-1,1768,5
892,-12,1756,5
893,-4,1752,7
894,101,1853,4
895,1,1854,4
896,-3,1851,6
897,-3,1848,6
898,1,1849,4
899,0,1849,5
900,-4,1845,6
901,0,1845,4
902,1,1846,4
903,101,1947,4
904,2,1949,3
905,-13,1936,7
906,-5,1931,7
907,-2,1929,5
908,0,1929,5
909,0,1929,4
910,0,1929,4
911,0,1929,4
912,-3,1926,6
913,0,1926,5
914,-10,1916,5
915,-2,1914,5
916,-8,1906,4
917,-1,1905,5
918,-9,1896,4
919,-1,1895,5
920,1,1896,4
921,1,1897,4
922,99,1996,5
923,-1,1995,5
924,2,1997,3
925,-2,1995,5
926,2,1997,3
927,1,1998,4
928,1,1999,4
929,2,2001,3
930,-2,1999,5
931,1,2000,4
932,-3,1997,6
933,-3,1994,7
934,0,1994,5
935,-3,1991,6
936,-4,1987,7
937,-2,1985,6
938,2,1987,3
939,-1,1986,5
940,-2,1984,6
941,-2,1982,5
942,-10,1972,4
943,100,2072,5
944,-4,2068,7
945,1,2069,4
946,-9,2060,4
947,97,2157,6
948,-1,2156,5
949,1,2157,4
950,87,2244,6
951,-10,2234,4
952,-2,2232,5
953,2,2234,3
954,-1,2233,5
955,2,2235,3
956,0,2235,4
957,-3,2232,6
958,0,2232,4
959,1,2233,4
960,-2,2231,6
961,0,2231,4
962,-1,2230,5
963,2,2232,3
964,-2,2230,6
965,1,2231,4
966,99,2330,5
967,2,2332,3
968,0,2332,4
969,0,2332,5
970,-1,2331,5
971,-4,2327,6
972,-3,2324,6
973,-2,2322,5
974,1,2323,4
975,-2,2321,5
976,0,2321,5
977,0,2321,4
978,-1,2320,5
979,0,2320,4
980,99,2419,6
981,-7,2412,3
982,1,2413,4
983,-7,2406,3
984,-11,2395,5
985,98,2493,6
986,-4,2489,7
987,-5,2484,7
988,1,2485,4
989,0,2485,4
990,-15,2470,8
991,0,2470,4
992,101,2571,4
993,1,2572,4
994,2,2574,3
995,-1,2573,5
996,0,2573,4
997,-11,2562,5
998,0,2562,4
999,-2,2560,5
